id,mass,massupper,masslower,width,widthupper,widthlower,i,g,p,c,anti,charge,rank,status,name,quarks,latex,pythia
1,4.67,0.5,0.2,-1.0,-1.0,-1.0,1/2,5,1,5,1.0,-1/3,0.0,0.0,d,d,d,False
-1,4.67,0.5,0.2,-1.0,-1.0,-1.0,1/2,5,1,5,1.0,1/3,0.0,0.0,d~,D,\overline{d},False
2,2.16,0.5,0.3,-1.0,-1.0,-1.0,1/2,5,1,5,1.0,2/3,0.0,0.0,u,u,u,False
-2,2.16,0.5,0.3,-1.0,-1.0,-1.0,1/2,5,1,5,1.0,-2/3,0.0,0.0,u~,U,\overline{u},False
3,93.0,11.0,5.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,-1/3,0.0,0.0,s,s,s,False
-3,93.0,11.0,5.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,1/3,0.0,0.0,s~,S,\overline{s},False
4,1270.0,20.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,2/3,0.0,0.0,c,c,c,False
-4,1270.0,20.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,-2/3,0.0,0.0,c~,C,\overline{c},False
5,4180.0,30.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,-1/3,0.0,0.0,b,b,b,False
-5,4180.0,30.0,20.0,-1.0,-1.0,-1.0,0,5,1,5,1.0,1/3,0.0,0.0,b~,B,\overline{b},False
6,172500.0,700.0,700.0,1420.0,190.0,150.0,0,5,1,5,1.0,2/3,0.0,0.0,t,t,t,False
-6,172500.0,700.0,700.0,1420.0,190.0,150.0,0,5,1,5,1.0,-2/3,0.0,0.0,t~,T,\overline{t},False
11,0.5109989461,3.1e-09,3.1e-09,0.0,0.0,0.0,0,5,5,5,2.0,-1,0.0,0.0,e-,?,e^{-},False
-11,0.5109989461,3.1e-09,3.1e-09,0.0,0.0,0.0,0,5,5,5,2.0,1,0.0,0.0,e+,?,e^{+},False
12,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(e),?,\nu_{e},False
-12,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(e)~,?,\overline{\nu}_{e},False
13,105.6583745,2.4e-06,2.4e-06,2.9959837e-16,3e-22,3e-22,0,5,5,5,2.0,-1,0.0,0.0,mu-,?,\mu^{-},False
-13,105.6583745,2.4e-06,2.4e-06,2.9959837e-16,3e-22,3e-22,0,5,5,5,2.0,1,0.0,0.0,mu+,?,\mu^{+},False
14,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(mu),?,\nu_{\mu},False
-14,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(mu)~,?,\overline{\nu}_{\mu},False
15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,0,5,5,5,2.0,-1,0.0,0.0,tau-,?,\tau^{-},False
-15,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12,0,5,5,5,2.0,1,0.0,0.0,tau+,?,\tau^{+},False
16,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(tau),?,\nu_{\tau},False
-16,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,5,5,5,1.0,0,0.0,1.0,nu(tau)~,?,\overline{\nu}_{\tau},False
17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,2.0,-1,0.0,4.0,tau'-,?,\tau^{\prime-},False
-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,2.0,1,0.0,4.0,tau'+,?,\tau^{\prime+},False
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,1.0,0,0.0,4.0,nu(tau'),?,\nu_{\tau^{\prime}},False
-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,5,5,5,1.0,0,0.0,4.0,nu(tau')~,?,\overline{\nu}_{\tau^{\prime}},False
21,0.0,0.0,0.0,0.0,0.0,0.0,0,5,-1,5,0.0,0,0.0,0.0,g,?,g,False
22,0.0,0.0,0.0,0.0,0.0,0.0,0,5,-1,-1,0.0,0,0.0,0.0,gamma,?,\gamma,False
23,91187.6,2.1,2.1,2495.2,2.3,2.3,0,5,5,5,0.0,0,0.0,0.0,Z0,?,Z^{0},False
24,80379.0,12.0,12.0,2080.0,40.0,40.0,0,5,5,5,2.0,1,0.0,0.0,W+,?,W^{+},False
-24,80379.0,12.0,12.0,2080.0,40.0,40.0,0,5,5,5,2.0,-1,0.0,0.0,W-,?,W^{-},False
25,125250.0,170.0,170.0,3.2,2.8,2.2,0,5,5,5,0.0,0,0.0,0.0,H0,?,H^{0},False
111,134.9768,0.0005,0.0005,7.81e-06,1.2e-07,1.2e-07,1,-1,-1,1,0.0,0,0.0,0.0,pi0,(uU-dD)/sqrt(2),\pi^{0},False
113,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,-1,0.0,0,0.0,0.0,rho(770)0,(uU-dD)/sqrt(2),\rho(770)^{0},False
115,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,1,0.0,0,0.0,0.0,a(2)(1320)0,(uU-dD)/sqrt(2),a_{2}(1320)^{0},False
117,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,-1,0.0,0,0.0,0.0,rho(3)(1690)0,(uU-dD)/sqrt(2),\rho_{3}(1690)^{0},False
119,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,1,0.0,0,0.0,0.0,a(4)(1970)0,(uU-dD)/sqrt(2),a_{4}(1970)^{0},False
130,497.611,0.013,0.013,1.287e-14,5e-17,5e-17,1/2,5,-1,5,0.0,0,0.0,0.0,K(L)0,p(dS)-q(Ds),K_{L}^{0},False
211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2.0,1,0.0,0.0,pi+,uD,\pi^{+},False
-211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2.0,-1,0.0,0.0,pi-,Ud,\pi^{-},False
213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2.0,1,0.0,0.0,rho(770)+,uD,\rho(770)^{+},False
-213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2.0,-1,0.0,0.0,rho(770)-,Ud,\rho(770)^{-},False
215,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,5,2.0,1,0.0,0.0,a(2)(1320)+,uD,a_{2}(1320)^{+},False
-215,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,5,2.0,-1,0.0,0.0,a(2)(1320)-,Ud,a_{2}(1320)^{-},False
217,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,5,2.0,1,0.0,0.0,rho(3)(1690)+,uD,\rho_{3}(1690)^{+},False
-217,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,5,2.0,-1,0.0,0.0,rho(3)(1690)-,Ud,\rho_{3}(1690)^{-},False
219,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,5,2.0,1,0.0,0.0,a(4)(1970)+,uD,a_{4}(1970)^{+},False
-219,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,5,2.0,-1,0.0,0.0,a(4)(1970)-,Ud,a_{4}(1970)^{-},False
221,547.862,0.017,0.017,0.00131,5e-05,5e-05,0,1,-1,1,0.0,0,0.0,0.0,eta,x(uU+dD)+y(sS),\eta,False
223,782.66,0.13,0.13,8.68,0.13,0.13,0,-1,-1,-1,0.0,0,0.0,0.0,omega(782),x(uU+dD)+y(sS),\omega(782),False
225,1275.5,0.8,0.8,186.7,2.2,2.5,0,1,1,1,0.0,0,0.0,0.0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270),False
227,1667.0,4.0,4.0,168.0,10.0,10.0,0,-1,-1,-1,0.0,0,0.0,0.0,omega(3)(1670),x(uU+dD)+y(sS),\omega_{3}(1670),False
229,2018.0,11.0,11.0,237.0,18.0,18.0,0,1,1,1,0.0,0,0.0,0.0,f(4)(2050),x(uU+dD)+y(sS),f_{4}(2050),False
310,497.611,0.013,0.013,7.3508e-12,2.9e-15,2.9e-15,1/2,5,-1,5,0.0,0,0.0,0.0,K(S)0,p(dS)+q(Ds),K_{S}^{0},False
311,497.611,0.013,0.013,-1.0,-1.0,-1.0,1/2,5,-1,5,1.0,0,0.0,0.0,K0,dS,K^{0},False
-311,497.611,0.013,0.013,-1.0,-1.0,-1.0,1/2,5,-1,5,1.0,0,0.0,0.0,K~0,Ds,\overline{K}^{0},False
313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1.0,0,0.0,0.0,K*(892)0,dS,K^{*}(892)^{0},False
-313,895.55,0.2,0.2,47.3,0.5,0.5,1/2,5,-1,5,1.0,0,0.0,0.0,K*(892)~0,Ds,\overline{K}^{*}(892)^{0},False
